
 Activation Function= relu	 Epochs= 100	 Batch Size= 8	 Drop? =True	 Dropout rate= 0.15	 Result= 0.06265617859480471
 Activation Function= relu	 Epochs= 100	 Batch Size= 8	 Drop? =True	 Dropout rate= 0.2	 Result= 0.06344171870929906
 Activation Function= relu	 Epochs= 100	 Batch Size= 8	 Drop? =True	 Dropout rate= 0.25	 Result= 0.0677668989795646
 Activation Function= relu	 Epochs= 100	 Batch Size= 8	 Drop? =False	 Dropout rate= 0.1	 Result= 0.053885777605169716
 Activation Function= relu	 Epochs= 100	 Batch Size= 8	 Drop? =False	 Dropout rate= 0.15	 Result= 0.0542089085102543
 Activation Function= relu	 Epochs= 100	 Batch Size= 8	 Drop? =False	 Dropout rate= 0.2	 Result= 0.0529921224265397
 Activation Function= relu	 Epochs= 100	 Batch Size= 8	 Drop? =False	 Dropout rate= 0.25	 Result= 0.05124151243873384
 Activation Function= relu	 Epochs= 100	 Batch Size= 16	 Drop? =True	 Dropout rate= 0.1	 Result= 0.059537651741515096
 Activation Function= relu	 Epochs= 100	 Batch Size= 16	 Drop? =True	 Dropout rate= 0.15	 Result= 0.0621400393679671
 Activation Function= relu	 Epochs= 100	 Batch Size= 16	 Drop? =True	 Dropout rate= 0.2	 Result= 0.06557123397273579
 Activation Function= relu	 Epochs= 100	 Batch Size= 16	 Drop? =True	 Dropout rate= 0.25	 Result= 0.07280326804061463
 Activation Function= relu	 Epochs= 100	 Batch Size= 16	 Drop? =False	 Dropout rate= 0.1	 Result= 0.05327810821491575
 Activation Function= relu	 Epochs= 100	 Batch Size= 16	 Drop? =False	 Dropout rate= 0.15	 Result= 0.05265722821547144
 Activation Function= relu	 Epochs= 100	 Batch Size= 16	 Drop? =False	 Dropout rate= 0.2	 Result= 0.05516523781741249
 Activation Function= relu	 Epochs= 100	 Batch Size= 16	 Drop? =False	 Dropout rate= 0.25	 Result= 0.05294161902434346
 Activation Function= relu	 Epochs= 100	 Batch Size= 32	 Drop? =True	 Dropout rate= 0.1	 Result= 0.05817669205579801
 Activation Function= relu	 Epochs= 100	 Batch Size= 32	 Drop? =True	 Dropout rate= 0.15	 Result= 0.062035321359937334
 Activation Function= relu	 Epochs= 100	 Batch Size= 32	 Drop? =True	 Dropout rate= 0.2	 Result= 0.06294219610074173
 Activation Function= relu	 Epochs= 100	 Batch Size= 32	 Drop? =True	 Dropout rate= 0.25	 Result= 0.06982381276782604
 Activation Function= relu	 Epochs= 100	 Batch Size= 32	 Drop? =False	 Dropout rate= 0.1	 Result= 0.05897479039383703
 Activation Function= relu	 Epochs= 100	 Batch Size= 32	 Drop? =False	 Dropout rate= 0.15	 Result= 0.054702107970980275
 Activation Function= relu	 Epochs= 100	 Batch Size= 32	 Drop? =False	 Dropout rate= 0.2	 Result= 0.05619357561069852
 Activation Function= relu	 Epochs= 100	 Batch Size= 32	 Drop? =False	 Dropout rate= 0.25	 Result= 0.05425207031474657
 Activation Function= relu	 Epochs= 100	 Batch Size= 64	 Drop? =True	 Dropout rate= 0.1	 Result= 0.05792305497699294
 Activation Function= relu	 Epochs= 100	 Batch Size= 64	 Drop? =True	 Dropout rate= 0.15	 Result= 0.06451445743106474
 Activation Function= relu	 Epochs= 100	 Batch Size= 64	 Drop? =True	 Dropout rate= 0.2	 Result= 0.06737238855502833
 Activation Function= relu	 Epochs= 100	 Batch Size= 64	 Drop? =True	 Dropout rate= 0.25	 Result= 0.07611285066646317
 Activation Function= relu	 Epochs= 100	 Batch Size= 64	 Drop? =False	 Dropout rate= 0.1	 Result= 0.05852858063721585
 Activation Function= relu	 Epochs= 100	 Batch Size= 64	 Drop? =False	 Dropout rate= 0.15	 Result= 0.05547724865462588
 Activation Function= relu	 Epochs= 100	 Batch Size= 64	 Drop? =False	 Dropout rate= 0.2	 Result= 0.056067248222709955
 Activation Function= relu	 Epochs= 100	 Batch Size= 64	 Drop? =False	 Dropout rate= 0.25	 Result= 0.05547866687133931
 Activation Function= relu	 Epochs= 100	 Batch Size= 128	 Drop? =True	 Dropout rate= 0.1	 Result= 0.06506084908043844
 Activation Function= relu	 Epochs= 100	 Batch Size= 128	 Drop? =True	 Dropout rate= 0.15	 Result= 0.06251511807511116
 Activation Function= relu	 Epochs= 100	 Batch Size= 128	 Drop? =True	 Dropout rate= 0.2	 Result= 0.06780110353390793
 Activation Function= relu	 Epochs= 100	 Batch Size= 128	 Drop? =True	 Dropout rate= 0.25	 Result= 0.07436624405787386
 Activation Function= relu	 Epochs= 100	 Batch Size= 128	 Drop? =False	 Dropout rate= 0.1	 Result= 0.06038587255545821
 Activation Function= relu	 Epochs= 100	 Batch Size= 128	 Drop? =False	 Dropout rate= 0.15	 Result= 0.06102778093013419
 Activation Function= relu	 Epochs= 100	 Batch Size= 128	 Drop? =False	 Dropout rate= 0.2	 Result= 0.06155308801075746
 Activation Function= relu	 Epochs= 100	 Batch Size= 128	 Drop? =False	 Dropout rate= 0.25	 Result= 0.0571646889432453
 Activation Function= relu	 Epochs= 100	 Batch Size= 256	 Drop? =True	 Dropout rate= 0.1	 Result= 0.0652014618522596
